sentiment,review
0,"This Wal-Mart is not a good Wal-mart. People at this location are not very responsive to your needs. NOTE: Do not call over the phone, fore they will say they will place something on hold and not follow through with it. This place is not very professional at all. I had to spend a whole $150 more for a laptop that i could of got for apt. $325.00. Please, if you are a independent person. DO NOT shop at this location. They will scam you to the fullest."
0,"Went to this location a few weeks ago and ordered a 4 piece meal with cole slaw and rice with extra avocado salsa. Got charged for a 4 piece meal. Got home and had a 3 piece meal with rice and beans NO AVOCADO SALSA.. Annoying? Yes? Life changing? No.. Notified corporate of my little problem got a free $5 meal voucher (which I haven't used).. Went back today and ordered a 4 piece meal with cole slaw and rice. Received a ONE PIECE SKINLESS BREAST!!!??? Went back and spoke to the Manager Janette and advised of her of the error. The first words out of her mouth was \""did you touch the chicken?\"" I said I had gotten home, opened the box and immediately returned. She said that it was my fault as I had obviously ordered a #4. I advised her that a single piece of skinless chicken probably wasn't worth the $7 and I would like the 4 piece that I had ordered. What did she do?? SHE CHARGED ME AN EXTRA $2.70 FOR THE ADDED CHICKEN THEN SIMPLY ADDED 3 PIECES OF CHICKEN TO THE BOX!!!??!! \nWTF happened to customer service!!?? I am going to completely avoid this location from now on. That $5 voucher will go in the trash and I will advise anyone who cares to avoid this place at all costs!!! \nI uploaded pictures of this ridiculously insulting meal and receipt!!"
0,"to be fair, this place is pretty nice with its convenient location and cutely decorated rooms. \n\nHOWEVER, theres a few major problems that i've had\n1) there was no room service at all. only the trash was taken out on the first day and that was done upon request. \n\n2) it gets very noisy because the house is not very sound-proof. Even the sound of someone walking in the hallway can be heard very clearly in our room \n\n3) the receptionist was very rude and unprofessional; there was a mistake in our reservation so the check out date was somehow one day earlier than our plan. The receptionist called us and basically told us that we had to move out in a very rude way, claiming that there was \""absolutely no way\"" we could've made the reservation. When we went to sort the situation out, she said it had nothing to do with her and that the mistake was on our part. When I told her that she was being extremely rude, she crossed her arm and said sarcastically \""how do you want me to talk to you?\"". \n\nOverall, very unpleasant, would never stay again."
0,"Went for happy hour, sat in the bar, it took forever! Service was so so. He was very flamboyant, but not expedient. It may have been the kitchen slowing him? The place NEEDED DUSTING BADLY! \nCalimari was so limp. Pizza doughy. Zucchini excellent!"
0,Meh!! lovely view. tartar flavorless. Kobe? you sure? don't go before an appointment. waaaay to slow. 20 mins for charcuterie plate and tartar. not packed. no excuse. meh!!
0,I do not see the allure.  We got a big box of the mini sized brownies in a variety of flavors (100 - 120 a pop) and I tried the walnut.  Not great.  Kinda dry.\n\nSo I waited a bit and tried the original.  Just as dry and no walnuts.\n\nSkip it.
1,Very inventive side dishes! Persimmon kimchi is out of this world! The owner makes it herself. Awesome
1,"The number one reason why I like coming here is because their pizza is excellent and I love the atmosphere. The first time I came was for my birthday last year and they handled our large group very well. The second time was just for dinner with a friend, and they allowed me to reserve a table for just 2 people, which is great because I know it can get crowded. I'm not a wine person but all the people I have brought with me here have assured me they have a great selection, so there you go! Mainly I come here for their Margherita Pizza. I ask for it well done and it's lovely, browned, & bubbly! They use lots of fresh basil like it's supposed to have! Great intimate and romantic atmosphere. Prices are reasonable for the high quality food."
0,"Yes, its a step above fast food, but you pay for what you get. A few months ago I had one of their dinner plates and a drink, maybe an extra taco, and it was 11-something! For a few bucks more I coulda' gone to a sit-down joint and had REAL Mexican food! The food is pretty fresh and all that, but its rather bland and boring. I do like the salsa bar, load your own and take it to go thingy. They also have nice take out cups!"
1,"I have been living in Pittsburgh since Sept.  One of my first outings here was to Club Cafe. \n\nI am a music junkie and I'm constantly looking for places that cater to musicians.  I came to Club Cafe on a Monday for open mic night.  My friend singer/songwriter Rachel Lynne (also newbie to the burgh) brought me here. Being open mic night, she was ready to let me hear that angelic voice of hers. \n\nWalking in, I was pleased with Club Cafe's intimate setting.  Having lived in music friendly cities such as: LA, Miami, Houston, Dallas, I was filled with joy when I saw the stage and all the instruments waiting eager to get played. \n\nThe place was pretty packed, therefore opted to sit at the bar.  The friendly bartender immediately acknowledged us.  Big PLUS on my book.  Took our drink order and handed us menus.  With a quick glance, I immediately came across to my now favorite drinking snack; a warm stuffed pepper jack cheese pretzel.  IT'S DELICIOUS!!!   So good, that we may have eaten four between the two of us.  YUM!!\n\nThe musicians performing were all very talented.  I must admit, I was concerned I would be stuck hearing Karaoke like performances.  To my surprise it was nothing like that, I was especially pleased with Rachel Lynne's performance. Her voice is truly angelic. \n\nOverall, for one of my first outings in Pittsburgh I had a great night.  Got to hear great musicians, greeted by friendly staff and eat the most amazing pretzel with my beer.  Since then, I have visited Club Cafe again and am sure it will be one of my favorite spots here in Pittsburgh.  Like I said at the beginning, I am a music junkie."
